"set"	"accession"	"annotname"	"litteralname"	"chrsize.bp"	"annot"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009387.1"	2	"154330250"	">CM009387.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 2, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009388.1"	3	"270589393"	">CM009388.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 3, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009389.1"	4	"231497844"	">CM009389.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 4, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009390.1"	5	"221136838"	">CM009390.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 5, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009391.1"	6	"228254876"	">CM009391.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 6, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009392.1"	7	"227195441"	">CM009392.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 7, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009393.1"	8	"173776113"	">CM009393.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 8, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009394.1"	9	"219064469"	">CM009394.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 9, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009395.1"	10	"221721387"	">CM009395.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 10, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009396.1"	11	"235950708"	">CM009396.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 11, whole genome shotgun sequence"
"Capsicum_annuum_Han2016"	"GCA_002878395.2"	"CM009397.1"	12	"232995803"	">CM009397.1 Capsicum annuum cultivar UCD-10X-F1 chromosome 12, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018018.1"	1	"36935898"	">CM018018.1 Citrullus lanatus cultivar 97103 chromosome 1, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018019.1"	2	"37915939"	">CM018019.1 Citrullus lanatus cultivar 97103 chromosome 2, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018020.1"	3	"31872261"	">CM018020.1 Citrullus lanatus cultivar 97103 chromosome 3, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018021.1"	4	"27110815"	">CM018021.1 Citrullus lanatus cultivar 97103 chromosome 4, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018022.1"	5	"35887987"	">CM018022.1 Citrullus lanatus cultivar 97103 chromosome 5, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018023.1"	6	"29507460"	">CM018023.1 Citrullus lanatus cultivar 97103 chromosome 6, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018024.1"	7	"31939013"	">CM018024.1 Citrullus lanatus cultivar 97103 chromosome 7, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018025.1"	8	"28201227"	">CM018025.1 Citrullus lanatus cultivar 97103 chromosome 8, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018026.1"	9	"37727573"	">CM018026.1 Citrullus lanatus cultivar 97103 chromosome 9, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018027.1"	10	"35099344"	">CM018027.1 Citrullus lanatus cultivar 97103 chromosome 10, whole genome shotgun sequence"
"Citrullus_lanatus_Ren2015"	"GCA_000238415.2"	"CM018028.1"	11	"30886124"	">CM018028.1 Citrullus lanatus cultivar 97103 chromosome 11, whole genome shotgun sequence"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr00"	0	"41641883"	">chr00"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr01"	1	"37037532"	">chr01"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr02"	2	"27064691"	">chr02"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr03"	3	"31666927"	">chr03"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr04"	4	"34318044"	">chr04"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr05"	5	"29324171"	">chr05"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr06"	6	"38297372"	">chr06"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr07"	7	"28958359"	">chr07"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr08"	8	"34765488"	">chr08"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr09"	9	"25243276"	">chr09"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr10"	10	"26663822"	">chr10"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr11"	11	"34457057"	">chr11"
"Cucumis_melo_Pereira2018"	"v4.0"	"chr12"	12	"27563660"	">chr12"
"Cucumis_sativus_Zhu2016"	"GCA_000004075.2"	"CM002922.1"	1	"29149675"	">CM002922.1 Cucumis sativus cultivar 9930 chromosome 1, whole genome shotgun sequence"
"Cucumis_sativus_Zhu2016"	"GCA_000004075.2"	"CM002923.1"	2	"23174626"	">CM002923.1 Cucumis sativus cultivar 9930 chromosome 2, whole genome shotgun sequence"
"Cucumis_sativus_Zhu2016"	"GCA_000004075.2"	"CM002924.1"	3	"39782674"	">CM002924.1 Cucumis sativus cultivar 9930 chromosome 3, whole genome shotgun sequence"
"Cucumis_sativus_Zhu2016"	"GCA_000004075.2"	"CM002925.1"	4	"23425844"	">CM002925.1 Cucumis sativus cultivar 9930 chromosome 4, whole genome shotgun sequence"
"Cucumis_sativus_Zhu2016"	"GCA_000004075.2"	"CM002926.1"	5	"28023477"	">CM002926.1 Cucumis sativus cultivar 9930 chromosome 5, whole genome shotgun sequence"
"Cucumis_sativus_Zhu2016"	"GCA_000004075.2"	"CM002927.1"	6	"29076228"	">CM002927.1 Cucumis sativus cultivar 9930 chromosome 6, whole genome shotgun sequence"
"Cucumis_sativus_Zhu2016"	"GCA_000004075.2"	"CM002928.1"	7	"19226500"	">CM002928.1 Cucumis sativus cultivar 9930 chromosome 7, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036638.1"	1	"21320769"	">NC_036638.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG01, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036639.1"	2	"14376414"	">NC_036639.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG02, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036640.1"	3	"13772414"	">NC_036640.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG03, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036641.1"	4	"12709140"	">NC_036641.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG04, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036642.1"	5	"10865678"	">NC_036642.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG05, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036643.1"	6	"10677745"	">NC_036643.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG06, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036644.1"	7	"10147556"	">NC_036644.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG07, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036645.1"	8	"10059303"	">NC_036645.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG08, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036646.1"	9	"9920322"	">NC_036646.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG09, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036647.1"	10	"9835092"	">NC_036647.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG10, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036648.1"	11	"9833969"	">NC_036648.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG11, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036649.1"	12	"9824194"	">NC_036649.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG12, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036650.1"	13	"9354089"	">NC_036650.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG13, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036651.1"	14	"8955933"	">NC_036651.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG14, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036652.1"	15	"8816444"	">NC_036652.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG15, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036653.1"	16	"8691934"	">NC_036653.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG16, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036654.1"	17	"8680504"	">NC_036654.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG17, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036655.1"	18	"8333454"	">NC_036655.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG18, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036656.1"	19	"8246682"	">NC_036656.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG19, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_036657.1"	20	"8120804"	">NC_036657.1 Cucurbita pepo subsp. pepo cultivar mu-cu-16 chromosome LG20, ASM280686v2, whole genome shotgun sequence"
"Cucurbita_pepo_MonteroPau2017"	"GCF_002806865.2"	"NC_014050.1"	"NA"	"982833"	">NC_014050.1 Cucurbita pepo mitochondrion, complete genome"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000001.1"	1	"31431123"	">BDMI01000001.1 Dioscorea rotundata DNA, contig: Chromosome_01_P1_1_P2_18, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000002.1"	2	"33969142"	">BDMI01000002.1 Dioscorea rotundata DNA, contig: Chromosome_02_P1_2_P2_2, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000003.1"	3	"19547260"	">BDMI01000003.1 Dioscorea rotundata DNA, contig: Chromosome_03_P1_3_P2_10, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000004.1"	4	"27749968"	">BDMI01000004.1 Dioscorea rotundata DNA, contig: Chromosome_04_P1_4_P2_5, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000005.1"	5	"32871075"	">BDMI01000005.1 Dioscorea rotundata DNA, contig: Chromosome_05_P1_5_P2_4, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000006.1"	6	"32866201"	">BDMI01000006.1 Dioscorea rotundata DNA, contig: Chromosome_06_P1_6_P2_6, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000007.1"	7	"18053115"	">BDMI01000007.1 Dioscorea rotundata DNA, contig: Chromosome_07_P1_7_P2_15, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000008.1"	8	"28021425"	">BDMI01000008.1 Dioscorea rotundata DNA, contig: Chromosome_08_P1_8_P2_11, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000009.1"	9	"23324680"	">BDMI01000009.1 Dioscorea rotundata DNA, contig: Chromosome_09_P1_9_P2_3, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000010.1"	10	"17904088"	">BDMI01000010.1 Dioscorea rotundata DNA, contig: Chromosome_10_P1_10_P2_14, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000011.1"	11	"17195437"	">BDMI01000011.1 Dioscorea rotundata DNA, contig: Chromosome_11_P1_11_P2_9, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000012.1"	12	"25272979"	">BDMI01000012.1 Dioscorea rotundata DNA, contig: Chromosome_12_P1_12_P2_19, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000013.1"	13	"29719729"	">BDMI01000013.1 Dioscorea rotundata DNA, contig: Chromosome_13_P1_13_P2_1, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000014.1"	14	"15713101"	">BDMI01000014.1 Dioscorea rotundata DNA, contig: Chromosome_14_P1_14_P2_13, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000015.1"	15	"10474557"	">BDMI01000015.1 Dioscorea rotundata DNA, contig: Chromosome_15_P1_15_P2_16, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000016.1"	16	"23371965"	">BDMI01000016.1 Dioscorea rotundata DNA, contig: Chromosome_16_P1_16_P2_8, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000017.1"	17	"20585887"	">BDMI01000017.1 Dioscorea rotundata DNA, contig: Chromosome_17_P1_17_P2_12, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000018.1"	18	"22795539"	">BDMI01000018.1 Dioscorea rotundata DNA, contig: Chromosome_18_P1_18_P2_7, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000019.1"	19	"9927364"	">BDMI01000019.1 Dioscorea rotundata DNA, contig: Chromosome_19_P1_19_P2_23, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000020.1"	20	"10677198"	">BDMI01000020.1 Dioscorea rotundata DNA, contig: Chromosome_20_P1_20_P2_17, cultivar: TDr96_F1, whole genome shotgun sequence"
"Dioscorea_alata_Cormier2019"	"GCA_002240015.2"	"BDMI01000021.1"	21	"5203141"	">BDMI01000021.1 Dioscorea rotundata DNA, contig: Chromosome_21_P1_21_P2_20, cultivar: TDr96_F1, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001740.1"	1	"55868233"	">CM001740.1 Gossypium raimondii chromosome 1, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001741.1"	2	"62769430"	">CM001741.1 Gossypium raimondii chromosome 2, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001742.1"	3	"45765648"	">CM001742.1 Gossypium raimondii chromosome 3, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001743.1"	4	"62178258"	">CM001743.1 Gossypium raimondii chromosome 4, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001744.1"	5	"64140413"	">CM001744.1 Gossypium raimondii chromosome 5, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001745.1"	6	"51074515"	">CM001745.1 Gossypium raimondii chromosome 6, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001746.1"	7	"60982465"	">CM001746.1 Gossypium raimondii chromosome 7, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001747.1"	8	"57128820"	">CM001747.1 Gossypium raimondii chromosome 8, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001748.1"	9	"70713020"	">CM001748.1 Gossypium raimondii chromosome 9, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001749.1"	10	"62175169"	">CM001749.1 Gossypium raimondii chromosome 10, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001750.1"	11	"62681010"	">CM001750.1 Gossypium raimondii chromosome 11, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001751.1"	12	"35429946"	">CM001751.1 Gossypium raimondii chromosome 12, whole genome shotgun sequence"
"Gossypium_raimondii_Wang2013"	"GCA_000327365.1"	"CM001752.1"	13	"58321163"	">CM001752.1 Gossypium raimondii chromosome 13, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014049.1"	1	"32944118"	">CM014049.1 Malus domestica cultivar HFTH1 chromosome 1, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014050.1"	2	"38449405"	">CM014050.1 Malus domestica cultivar HFTH1 chromosome 2, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014051.1"	3	"37138690"	">CM014051.1 Malus domestica cultivar HFTH1 chromosome 3, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014052.1"	4	"31012745"	">CM014052.1 Malus domestica cultivar HFTH1 chromosome 4, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014053.1"	5	"47891858"	">CM014053.1 Malus domestica cultivar HFTH1 chromosome 5, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014054.1"	6	"35567198"	">CM014054.1 Malus domestica cultivar HFTH1 chromosome 6, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014055.1"	7	"35934761"	">CM014055.1 Malus domestica cultivar HFTH1 chromosome 7, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014056.1"	8	"31511015"	">CM014056.1 Malus domestica cultivar HFTH1 chromosome 8, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014057.1"	9	"34800404"	">CM014057.1 Malus domestica cultivar HFTH1 chromosome 9, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014058.1"	10	"43815736"	">CM014058.1 Malus domestica cultivar HFTH1 chromosome 10, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014059.1"	11	"42456296"	">CM014059.1 Malus domestica cultivar HFTH1 chromosome 11, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014060.1"	12	"32285079"	">CM014060.1 Malus domestica cultivar HFTH1 chromosome 12, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014061.1"	13	"44866511"	">CM014061.1 Malus domestica cultivar HFTH1 chromosome 13, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014062.1"	14	"31515206"	">CM014062.1 Malus domestica cultivar HFTH1 chromosome 14, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014063.1"	15	"56644392"	">CM014063.1 Malus domestica cultivar HFTH1 chromosome 15, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014064.1"	16	"41670059"	">CM014064.1 Malus domestica cultivar HFTH1 chromosome 16, whole genome shotgun sequence"
"Malus_domestica_DiPierro2016"	"GCA_004115385.1"	"CM014065.1"	17	"33998825"	">CM014065.1 Malus domestica cultivar HFTH1 chromosome 17, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021837.1"	1	"29456600"	">CM021837.1 Mangifera indica cultivar Alphonso chromosome 1, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021838.1"	2	"24397897"	">CM021838.1 Mangifera indica cultivar Alphonso chromosome 2, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021839.1"	3	"23139393"	">CM021839.1 Mangifera indica cultivar Alphonso chromosome 3, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021840.1"	4	"21507500"	">CM021840.1 Mangifera indica cultivar Alphonso chromosome 4, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021841.1"	5	"21083371"	">CM021841.1 Mangifera indica cultivar Alphonso chromosome 5, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021842.1"	6	"18811960"	">CM021842.1 Mangifera indica cultivar Alphonso chromosome 6, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021843.1"	7	"20623120"	">CM021843.1 Mangifera indica cultivar Alphonso chromosome 7, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021844.1"	8	"18243469"	">CM021844.1 Mangifera indica cultivar Alphonso chromosome 8, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021845.1"	9	"18233274"	">CM021845.1 Mangifera indica cultivar Alphonso chromosome 9, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021846.1"	10	"17652500"	">CM021846.1 Mangifera indica cultivar Alphonso chromosome 10, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021847.1"	11	"17144574"	">CM021847.1 Mangifera indica cultivar Alphonso chromosome 11, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021848.1"	12	"16029966"	">CM021848.1 Mangifera indica cultivar Alphonso chromosome 12, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021849.1"	13	"15457994"	">CM021849.1 Mangifera indica cultivar Alphonso chromosome 13, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021850.1"	14	"14810209"	">CM021850.1 Mangifera indica cultivar Alphonso chromosome 14, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021851.1"	15	"14765960"	">CM021851.1 Mangifera indica cultivar Alphonso chromosome 15, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021852.1"	16	"13817227"	">CM021852.1 Mangifera indica cultivar Alphonso chromosome 16, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021853.1"	17	"13506273"	">CM021853.1 Mangifera indica cultivar Alphonso chromosome 17, whole genome shotgun sequence"
"Mangifera_indica_Luo2016"	"GCA_011075055.1"	"CM021854.1"	18	"13371754"	">CM021854.1 Mangifera indica cultivar Alphonso chromosome 18, whole genome shotgun sequence"
