mkr	Chr	cM
Marker1840037	1	60.816
Marker1844716	1	61.205
Marker1941832	1	61.205
Marker1733851	1	61.347
Marker1853943	1	61.49
Marker1947392	1	61.776
Marker1952149	1	61.999
Marker1905730	1	62.204
Marker1863859	1	62.346
Marker1906409	1	62.489
Marker1918766	1	62.775
Marker1772944	1	62.917
Marker1834735	1	63.06
Marker1932639	1	63.345
Marker1939114	1	63.345
Marker1785518	1	63.345
Marker1871995	1	63.345
Marker1857523	1	63.488
Marker1936237	1	63.488
Marker1764909	1	63.488
Marker1813057	1	63.63
Marker1958936	1	63.773
Marker1771060	1	63.915
Marker1950438	1	63.915
Marker1775100	1	63.915
Marker1732939	1	63.915
Marker1890954	1	64.058
Marker1934768	1	64.058
Marker1804028	1	65.501
Marker1822703	1	65.65
Marker1836466	1	65.779
Marker1818968	1	66.191
Marker1912986	1	66.191
Marker1755597	1	66.191
Marker1842675	1	66.158
Marker1779987	1	66.347
Marker1821317	1	66.726
Marker1802487	1	66.726
Marker1969138	1	70.409
Marker1865315	1	66.726
Marker1887271	1	67.296
Marker1941055	1	68.058
Marker1851481	1	68.628
Marker1825660	1	68.816
Marker1786472	1	69.005
Marker1795267	1	69.575
Marker1919574	1	70.409
Marker1787055	1	69.954
Marker1772650	1	71.234
Marker1878887	1	70.333
Marker1784226	1	70.712
Marker1788103	1	70.901
Marker1817345	1	71.28
Marker1763572	1	71.28
Marker1773411	1	71.28
Marker1965632	1	71.469
Marker1919025	1	71.658
Marker1945504	1	71.658
Marker1902153	1	71.847
Marker1749821	1	72.036
Marker1889906	1	72.415
Marker1780457	1	72.604
Marker1745225	1	71.646
Marker1773296	1	72.472
Marker1789039	1	72.604
Marker1904056	1	72.604
Marker1956921	1	72.604
Marker1860836	1	72.884
Marker1733928	1	72.793
Marker1830043	1	72.793
Marker1837900	1	72.982
Marker1873149	1	72.982
Marker1955849	1	72.982
Marker1804094	1	73.71
Marker1848066	1	72.982
Marker1731785	1	72.982
Marker1900234	1	73.171
Marker1946495	1	73.36
Marker1839248	1	74.122
Marker1968771	1	74.122
Marker1840800	1	74.251
Marker1921904	1	74.122
Marker1921360	1	74.122
Marker1753050	1	74.122
Marker1888700	1	74.122
Marker1920585	1	74.511
Marker1873121	1	74.64
Marker1947372	1	74.77
Marker1883957	1	74.899
Marker1835996	1	74.899
Marker1828718	1	74.899
Marker1872177	1	75.103
Marker1904477	1	75.103
Marker1886757	1	75.103
Marker1819240	1	75.306
Marker1943280	1	75.715
Marker1833492	1	76.123
Marker1913055	1	74.899
Marker1906426	1	75.614
Marker1750411	1	75.614
Marker1792964	1	76.326
Marker1814201	1	75.97
Marker1775850	1	76.326
Marker1960432	1	76.326
Marker1958519	1	76.773
Marker1937537	1	77.22
Marker1843370	1	77.22
Marker1966189	1	77.22
Marker1836403	1	77.368
Marker1940529	1	77.665
Marker1920651	1	78.111
Marker1894370	1	78.26
Marker1778281	1	78.557
Marker1956943	1	78.557
Marker1861617	1	78.557
Marker1937424	1	78.705
Marker1874020	1	78.853
Marker1839232	1	79.001
Marker1916098	1	80.489
Marker1832926	1	79.598
Marker1920206	1	79.895
Marker1768964	1	80.192
Marker1956371	1	80.489
Marker1763688	1	80.489
Marker1837023	1	80.749
Marker1762878	1	80.749
Marker1957673	1	81.124
Marker1759905	1	80.749
Marker1899895	1	82.019
Marker1753560	1	82.019
Marker1749465	1	81.878
Marker1817223	1	82.44
Marker1846354	1	82.253
Marker1737901	1	82.44
Marker1767703	1	82.96
Marker1850028	1	83.481
Marker1765315	1	82.96
Marker1746893	1	82.96
Marker1845103	1	82.96
Marker1941775	1	82.96
Marker1923435	1	82.96
Marker1745357	1	82.96
Marker1822802	1	82.96
Marker1869810	1	82.96
Marker1758548	1	83.48
Marker1772478	1	83.999
Marker1851228	1	83.999
Marker1956021	1	83.999
Marker1947946	1	83.999
Marker1731762	1	83.999
Marker1870661	1	83.999
Marker1893745	1	83.999
Marker1921597	1	83.481
Marker1737098	1	83.481
Marker1965385	1	83.653
Marker1870863	1	83.999
Marker1829244	1	83.999
Marker1873010	1	83.999
Marker1956649	1	84.145
Marker1874333	1	84.584
Marker1938152	1	84.584
Marker1861792	1	83.999
Marker1959951	1	83.999
Marker1937508	1	83.999
Marker1744489	1	83.999
Marker1736266	1	83.999
Marker1910285	1	83.999
Marker1953963	1	83.999
Marker1876059	1	83.999
Marker1874755	1	83.999
Marker1822756	1	83.999
Marker1929686	1	83.999
Marker1763695	1	83.999
Marker1799110	1	83.999
Marker1918046	1	83.999
Marker1934745	1	83.999
Marker1937310	1	84.73
Marker1759270	1	84.876
Marker1878650	1	85.021
Marker1780688	1	83.999
Marker1784050	1	83.999
Marker1962106	1	83.999
Marker1914413	1	83.999
Marker1852470	1	83.999
Marker1901861	1	83.999
Marker1938031	1	85.167
Marker1895670	1	85.021
Marker1779620	1	85.167
Marker1749454	1	85.471
Marker1866684	1	85.774
Marker1913396	1	86.078
Marker1930828	1	86.078
Marker1889357	1	86.337
Marker1885795	1	86.337
Marker1911774	1	86.337
Marker1866574	1	86.337
Marker1950367	1	87.009
Marker1905670	1	87.232
Marker1813911	1	87.455
Marker1893822	1	87.677
Marker1952164	1	87.9
Marker1786187	1	87.677
Marker1768150	1	87.9
Marker1941680	1	88.184
Marker1948709	1	87.9
Marker1760778	1	88.467
Marker1795544	1	88.467
Marker1947354	1	88.608
Marker1893289	1	89.034
Marker1853606	1	89.175
Marker1753640	1	89.175
Marker1911624	1	89.175
Marker1774222	1	89.175
Marker1873567	1	89.175
Marker1880335	1	89.175
Marker1751713	1	87.9
Marker1754151	1	89.175
Marker1963762	1	87.9
Marker1919844	1	87.9
Marker1748141	1	87.9
Marker1799171	1	89.317
Marker1929855	1	87.9
Marker1858037	1	89.458
Marker1759802	1	89.458
Marker1732982	1	89.458
Marker1941611	1	89.717
Marker1761648	1	89.977
Marker1813576	1	89.977
Marker1924765	1	89.458
Marker1961828	1	89.977
Marker1844330	1	89.977
Marker1741504	1	89.977
Marker1802278	1	90.106
Marker1952219	1	90.106
Marker1936581	1	90.106
Marker1855573	1	90.106
Marker1762985	1	90.106
Marker1936090	1	90.106
Marker1889726	1	90.106
Marker1778147	1	90.106
Marker1923394	1	90.106
Marker1767599	1	90.365
Marker1853223	1	90.365
Marker1923160	1	90.365
Marker1907657	1	90.625
Marker1900568	1	90.885
Marker1787291	1	91.145
Marker1866985	1	91.145
Marker1923703	1	91.145
Marker1791059	1	91.145
Marker1760964	1	91.404
Marker1873744	1	91.576
Marker1887011	1	91.576
Marker1756365	1	91.576
Marker1926525	1	91.749
Marker1913025	1	91.922
Marker1928204	1	92.376
Marker1732479	1	92.468
Marker1828490	1	92.831
Marker1948275	1	92.649
Marker1822019	1	92.831
Marker1763123	1	92.831
Marker1838589	1	93.09
Marker1874101	1	93.22
Marker1911334	1	93.22
Marker1837774	1	93.22
Marker1907051	1	93.22
Marker1766654	1	93.738
Marker1967790	1	93.738
Marker1801840	1	93.393
Marker1962807	1	93.738
Marker1947210	1	93.565
Marker1897458	1	93.738
Marker1897616	1	94.258
Marker1815491	1	94.258
Marker1894629	1	94.474
Marker1859400	1	94.69
Marker1941230	1	94.906
Marker1885511	1	94.906
Marker1889080	1	95.1
Marker1944430	1	95.294
Marker1819253	1	95.489
Marker1805380	1	95.294
Marker1862899	1	95.294
Marker1952014	1	95.294
Marker1800056	1	95.294
Marker1773592	1	95.683
Marker1821312	1	95.294
Marker1884270	1	95.683
Marker1926006	1	95.683
Marker1957648	1	96.072
Marker1775915	1	96.072
Marker1856250	1	96.072
Marker1941522	1	96.072
Marker1965184	1	96.072
Marker1779457	1	96.072
Marker1965258	1	96.072
Marker1776537	1	95.877
Marker1935452	1	96.072
Marker1868063	1	96.247
Marker1785062	1	96.072
Marker1883860	1	96.072
Marker1834259	1	96.072
Marker1808405	1	96.072
Marker1918511	1	96.072
Marker1830967	1	97.071
Marker1736841	1	97.57
Marker1963052	1	96.775
Marker1759700	1	96.95
Marker1856602	1	98.068
Marker1864065	1	97.125
Marker1948508	1	98.566
Marker1951692	1	97.542
Marker1905219	1	98.566
Marker1757337	1	98.566
Marker1764535	1	98.181
Marker1771471	1	99.065
Marker1918322	1	99.065
Marker1837467	1	99.816
Marker1966044	1	100.189
Marker1804819	1	100.562
Marker1885483	1	99.065
Marker1850867	1	100.936
Marker1788181	1	99.49
Marker1822804	1	99.916
Marker1887255	1	101.497
Marker1727042	1	101.684
Marker1834339	1	100.341
Marker1963550	1	102.057
Marker1963500	1	102.057
Marker1838662	1	102.057
Marker1771266	1	102.057
Marker1863667	1	102.057
Marker1799097	1	102.187
Marker1762823	1	102.576
Marker1845129	1	102.576
Marker1826192	1	102.576
Marker1878905	1	102.576
Marker1932362	1	102.576
Marker1907251	1	102.576
Marker1835607	1	102.187
Marker1912255	1	102.576
Marker1964546	1	102.576
Marker1822444	1	102.792
Marker1790776	1	103.008
Marker1780259	1	103.223
Marker1925561	1	103.223
Marker1757120	1	102.9
Marker1962394	1	103.223
Marker1936595	1	103.223
Marker1819122	1	103.223
Marker1748395	1	103.223
Marker1837164	1	103.223
Marker1773935	1	103.223
Marker1736044	1	103.223
Marker1770856	1	103.223
Marker1792806	1	103.223
Marker1778505	1	103.223
Marker1927512	1	103.353
Marker1835889	1	103.223
Marker1786047	1	103.223
Marker1958546	1	103.483
Marker1828168	1	103.612
Marker1888144	1	103.871
Marker1832137	1	104.391
Marker1814625	1	105.065
Marker1887770	1	105.738
Marker1784027	1	106.753
Marker1926598	1	106.92
Marker1811293	1	106.92
Marker1869140	1	107.255
Marker1818377	1	107.255
Marker1849860	1	106.132
Marker1952774	1	106.132
Marker1735084	1	106.709
Marker1880921	1	107.866
Marker1768469	1	107.255
Marker1799793	1	108.443
Marker1956307	1	109.043
Marker1830694	1	108.443
Marker1958965	1	109.342
Marker1922644	1	108.672
Marker1731537	1	109.941
Marker1968688	1	110.24
Marker1959682	1	110.84
Marker1844752	1	109.593
Marker1894717	1	109.822
Marker1794993	1	110.05
Marker1883314	1	111.439
Marker1746099	1	111.829
Marker1846888	1	111.829
Marker1889107	1	111.829
Marker1894600	1	111.829
Marker1887355	1	111.829
Marker1773823	1	111.958
Marker1840425	1	112.349
Marker1805060	1	111.958
Marker1914238	1	112.609
Marker1825653	1	111.958
Marker1888793	1	112.609
Marker1842234	1	112.609
Marker1870020	1	112.609
Marker1859118	1	112.609
Marker1892556	1	112.868
Marker1777066	1	112.998
Marker1743076	1	113.127
Marker1895586	1	113.387
Marker1946607	1	113.803
Marker1923697	1	114.428
Marker1914426	1	115.079
Marker1806177	1	115.208
Marker1905588	1	115.727
Marker1729230	1	115.208
Marker1759465	1	115.727
Marker1780611	1	115.727
Marker1881968	1	115.554
Marker1775243	1	115.727
Marker1873032	1	115.554
Marker1827935	1	115.727
Marker1747416	1	115.987
Marker1846785	1	116.377
Marker1856702	1	116.768
Marker1841455	1	117.028
Marker1925053	1	117.815
Marker1893117	1	120.256
Marker1968747	1	121.352
Marker1739521	1	123.74
Marker1945158	1	124.895
Marker1846313	1	129.026
Marker1834420	1	129.026
Marker1948139	1	129.026
Marker1903318	1	129.026
Marker1876370	1	127.266
Marker1894082	1	128.094
Marker1825197	1	129.063
Marker1825499	1	130.173
Marker1801564	1	130.584
Marker1735102	1	131.836
Marker1830830	1	132.946
Marker1949482	1	133.219
Marker1933024	1	133.492
Marker1745295	1	133.765
Marker1793282	1	134.039
Marker1879921	1	134.175
Marker1865697	1	134.311
Marker1838153	1	134.311
Marker1809790	1	134.7
Marker1772624	1	134.505
Marker1937002	1	134.7
Marker1767926	1	134.829
Marker1961172	1	134.829
Marker1827773	1	135.089
Marker1859542	1	135.349
Marker1893467	1	135.349
Marker1878809	1	135.349
Marker1796617	1	136.227
Marker1952029	1	136.227
Marker1778541	1	136.227
Marker1728369	1	135.817
Marker1897661	1	135.817
Marker1865346	1	136.518
Marker1855628	1	136.285
Marker1933492	1	136.518
Marker1872641	1	136.647
Marker1866448	1	136.518
Marker1863437	1	136.907
Marker1912993	1	136.907
Marker1841829	1	137.037
Marker1910674	1	136.907
Marker1916017	1	136.907
Marker1890192	1	137.166
Marker1890415	1	137.426
Marker1917072	1	137.426
Marker1916588	1	137.426
Marker1940781	1	137.556
Marker1823016	1	137.946
Marker1945711	1	137.426
Marker1872452	1	137.426
Marker1892124	1	138.076
Marker1890134	1	137.426
Marker1907525	1	138.076
Marker1935972	1	137.426
Marker1896896	1	138.205
Marker1898871	1	138.581
Marker1773443	1	138.768
Marker1793384	1	139.143
Marker1886690	1	139.519
Marker1754533	1	139.706
Marker1895281	1	139.893
Marker1767767	1	140.33
Marker1911355	1	140.941
Marker1807008	1	140.941
Marker1837358	1	141.071
Marker1958238	1	141.2
Marker1963507	1	141.2
Marker1791743	1	141.33
Marker1958732	1	141.589
Marker1818442	1	141.849
Marker1815148	1	141.849
Marker1798291	1	141.849
Marker1730557	1	141.979
Marker1823193	1	141.979
Marker1769749	1	142.367
Marker1859030	1	143.147
Marker1883426	1	142.173
Marker1801236	1	142.563
Marker1813762	1	142.563
Marker1797790	1	142.563
Marker1820989	1	142.563
Marker1820577	1	142.952
Marker1886551	1	142.952
Marker1822358	1	142.952
Marker1803954	1	143.535
Marker1830686	1	143.147
Marker1754129	1	143.535
Marker1758374	1	143.341
Marker1801612	1	143.535
Marker1751241	1	143.535
Marker1937509	1	143.535
Marker1781785	1	143.535
Marker1919919	1	143.698
Marker1773074	1	143.535
Marker1889891	1	143.535
Marker1868401	1	143.698
Marker1882109	1	144.024
Marker1840844	1	144.186
Marker1842010	1	144.349
Marker1828899	1	144.675
Marker1950211	1	143.535
Marker1881586	1	145.001
Marker1840227	1	146.106
Marker1746639	1	146.535
Marker1897359	1	146.924
Marker1768856	1	146.924
Marker1913663	1	146.924
Marker1755034	1	147.683
Marker1857448	1	146.924
Marker1946542	1	146.924
Marker1928776	1	147.121
Marker1936139	1	147.121
Marker1912624	1	147.121
Marker1922733	1	147.121
Marker1940993	1	147.121
Marker1904451	1	147.318
Marker1742623	1	148.442
Marker1945073	1	149.201
Marker1906940	1	151.502
Marker1854787	1	149.751
Marker1858026	1	151.88
Marker1830264	1	151.88
Marker1798105	1	153.419
Marker1933097	1	153.716
Marker1830671	1	154.186
Marker1886406	1	154.186
Marker1864252	1	154.186
Marker1941533	1	154.186
Marker1862058	1	154.186
Marker1947499	1	154.186
Marker1936725	1	154.316
Marker1855415	1	154.475
Marker1773739	1	154.704
Marker1888591	1	155.224
Marker1780860	1	155.39
Marker1898942	1	155.79
Marker1969438	1	156.816
Marker1766620	1	161.571
Marker1880667	1	166.449
Marker1832367	1	171.978
Marker1876513	1	173.229
Marker1753811	1	174.909
Marker1848536	1	180.141
Marker1839909	1	182.48
Marker1863626	1	184.218
Marker1904976	1	185.499
Marker1915884	1	186.141
Marker1941972	1	186.529
Marker1731282	1	186.335
Marker1870844	1	186.529
Marker1902370	1	186.918
Marker1935408	1	186.918
Marker1836219	1	187.171
Marker1930046	1	187.437
Marker1854464	1	187.437
Marker1968006	1	187.87
Marker1959663	1	188.086
Marker1727772	1	188.216
Marker1858678	1	188.086
Marker1744858	1	188.216
Marker1956028	1	188.216
Marker1911456	1	188.216
Marker1814696	1	188.216
Marker1881756	1	188.867
Marker1915042	1	188.867
Marker1907547	1	189.016
Marker1772521	1	189.833
Marker1802120	1	189.833
Marker1887418	1	190.039
Marker1806873	1	190.039
Marker1966513	1	190.039
Marker1748032	1	190.298
Marker1793605	1	190.558
Marker1797427	1	190.558
Marker1831435	1	191.08
Marker1738030	1	191.6
Marker1733718	1	191.859
Marker1899587	1	191.077
Marker1896615	1	191.857
Marker1813135	1	192.379
Marker1829966	1	192.899
Marker1915428	1	193.159
Marker1764713	1	193.418
Marker1832192	1	193.418
Marker1909470	1	193.418
Marker1855619	1	192.901
Marker1898975	1	193.16
Marker1847267	1	193.419
Marker1774862	1	193.677
Marker1900263	1	193.677
Marker1732833	1	193.677
Marker1939064	1	194.592
Marker1727303	1	194.592
Marker1744128	1	199.334
Marker1912962	1	200.492
Marker1741314	1	201.656
Marker1801809	1	200.492
Marker1799795	1	201.2
Marker1943743	1	201.671
Marker1763436	1	204.312
Marker1900205	1	205.183
Marker1861773	1	205.472
Marker1934898	1	205.472
Marker1775870	1	202.379
Marker1754287	1	202.85
Marker1771889	1	203.085
Marker1879416	1	203.793
Marker1868406	1	204.501
Marker1829742	1	205.761
Marker1920254	1	205.21
Marker1863004	1	205.761
Marker1797526	1	205.68
Marker1945498	1	206.049
Marker1749971	1	206.627
Marker1830016	1	206.338
Marker1891216	1	206.627
Marker1785607	1	206.627
Marker1815108	1	206.627
Marker1758640	1	207.241
Marker1808191	1	207.546
Marker1828644	1	207.546
Marker1948457	1	207.698
Marker1862333	1	207.851
Marker1965728	1	207.851
Marker1873938	1	207.851
Marker1802246	1	208.003
Marker1892166	1	208.928
Marker1852989	1	207.496
Marker1815388	1	208.365
Marker1814302	1	208.365
Marker1844914	1	208.365
Marker1933365	1	208.365
Marker1948188	1	209.234
Marker1795124	1	209.689
Marker1770649	1	209.917
Marker1953143	1	211.065
Marker1876632	1	211.584
Marker1780563	1	211.584
Marker1911121	1	211.584
Marker1915835	1	211.722
Marker1821141	1	211.722
Marker1964054	1	211.722
Marker1768990	1	211.722
Marker1810581	1	211.859
Marker1782764	1	212.135
Marker1922246	1	212.273
Marker1867755	1	212.273
Marker1786353	1	212.273
Marker1962367	1	212.411
Marker1786450	1	212.687
Marker1959862	1	212.824
Marker1906656	1	213.239
Marker1925445	1	213.791
Marker1763634	1	213.515
Marker1853880	1	213.515
Marker1959015	1	213.791
Marker1921592	1	213.791
Marker1733972	1	213.791
Marker1943724	1	215.2
Marker1879809	1	213.791
Marker1892335	1	213.791
Marker1811807	1	213.791
Marker1959102	1	213.791
Marker1868993	1	213.97
Marker1958175	1	213.97
Marker1754575	1	214.15
Marker1842730	1	214.509
Marker1880988	1	214.868
Marker1806348	1	215.2
Marker1777586	1	216.137
Marker1852055	1	215.958
Marker1869367	1	216.137
Marker1780400	1	216.884
Marker1930803	1	217.032
Marker1753247	1	217.032
Marker1931000	1	216.137
Marker1962206	1	217.032
Marker1762740	1	217.032
Marker1852219	1	216.137
Marker1880592	1	216.137
Marker1763291	1	217.18
Marker1840451	1	217.374
Marker1903635	1	217.18
Marker1803049	1	217.569
Marker1935108	1	217.569
Marker1849722	1	217.763
Marker1882124	1	217.763
Marker1738476	1	217.957
Marker1816846	1	217.569
Marker1877921	1	217.957
Marker1854495	1	217.957
Marker1825792	1	218.087
Marker1962161	1	218.693
Marker1801817	1	218.087
Marker1793450	1	218.693
Marker1781357	1	218.693
Marker1793443	1	218.087
Marker1839355	1	218.314
Marker1749267	1	218.693
Marker1933519	1	218.314
Marker1851705	1	218.314
Marker1901072	1	218.768
Marker1876640	1	218.768
Marker1810959	1	218.768
Marker1958871	1	218.995
Marker1874757	1	218.995
Marker1906454	1	218.995
Marker1747235	1	218.995
Marker1737052	1	219.255
Marker1907713	1	219.255
Marker1793718	1	219.566
Marker1746288	1	219.722
Marker1914576	1	219.877
Marker1944898	1	220.033
Marker1900718	1	220.033
Marker1920999	1	220.292
Marker1806964	1	220.292
Marker1915195	1	220.292
Marker1959543	1	220.292
Marker1925961	1	220.292
Marker1825121	1	220.292
Marker1912747	1	220.292
Marker1812541	1	220.292
Marker1794788	1	220.292
Marker1887133	1	220.292
Marker1879510	1	220.292
Marker1848901	1	220.292
Marker1813722	1	220.292
Marker1957675	1	220.292
Marker1813058	1	220.292
Marker1860353	1	220.421
Marker1827807	1	220.421
Marker1896717	1	220.421
Marker1803374	1	221.301
Marker1822617	1	221.36
Marker1732601	1	221.593
Marker1823461	1	222.112
Marker1821622	1	221.939
Marker1925940	1	222.112
Marker1793068	1	222.631
Marker1868385	1	222.112
Marker1764538	1	222.284
Marker1788671	1	222.284
Marker1757821	1	222.631
Marker1877732	1	222.76
Marker1759184	1	222.76
Marker1742807	1	222.89
Marker1827439	1	222.89
Marker1802150	1	223.149
Marker1749842	1	223.54
Marker1854335	1	223.931
Marker1732733	1	224.19
Marker1778480	1	224.45
Marker1904787	1	224.71
Marker1922659	1	224.97
Marker1846739	1	225.36
Marker1915514	1	225.62
Marker1880758	1	226.05
Marker1934006	1	226.335
Marker1776136	1	225.62
Marker1872811	1	225.62
Marker1914084	1	226.621
Marker1853778	1	225.62
Marker1930903	1	225.62
Marker1818216	1	227.05
Marker1741689	1	227.734
Marker1744413	1	228.417
Marker1892017	1	227.657
Marker1968774	1	228.644
Marker1833078	1	227.657
Marker1804128	1	227.959
Marker1840735	1	228.871
Marker1906582	1	227.959
Marker1800211	1	228.871
Marker1890831	1	229
Marker1800371	1	229
Marker1908731	1	229.13
Marker1956670	1	229.259
Marker1766205	1	229.259
Marker1950038	1	229.259
Marker1921140	1	229.259
Marker1903011	1	229.259
Marker1761443	1	229.259
Marker1880259	1	229.407
Marker1802463	1	229.259
Marker1813195	1	229.555
Marker1729182	1	229.259
Marker1902609	1	229.259
Marker1743350	1	229.703
Marker1827128	1	229.703
Marker1753865	1	229.259
Marker1830140	1	229.259
Marker1921839	1	230
Marker1833791	1	230
Marker1829396	1	229.259
Marker1811129	1	229.259
Marker1944654	1	229.259
Marker1852456	1	230.148
Marker1881204	1	230.296
Marker1754591	1	230.296
Marker1960121	1	230.296
Marker1869181	1	230.296
Marker1927403	1	230.296
Marker1765128	1	230.296
Marker1813681	1	230.555
Marker1923402	1	230.555
Marker1950592	1	230.555
Marker1956514	1	230.555
Marker1768995	1	230.555
Marker1842447	1	230.555
Marker1926350	1	230.555
Marker1792475	1	230.555
