Marker	Chr	cM				
S1_4307334	1	24.9				
S1_4323693	1	24.9				
S1_4401756	1	25.18				
S1_4416088	1	25.18				
S1_4489521	1	25.82				
S1_4494386	1	26.14				
S1_4494409	1	26.14				
S1_4494434	1	26.14				
S1_4585961	1	26.76				
S1_4611876	1	27.08				
S1_4632666	1	27.08				
S1_4732163	1	27.66				
S1_4751401	1	27.66				
S1_4755473	1	27.66				
S1_4831931	1	28.23				
S1_4979229	1	30.69				
S1_4980060	1	30.69				
S1_5012280	1	30.99				
S1_5016805	1	30.99				
S1_5016856	1	30.99				
S1_5017220	1	30.99				
S1_5017453	1	31.29				
S1_5038652	1	31.29				
S1_5050840	1	31.89				
S1_5099955	1	32.76				
S1_5100459	1	32.76				
S1_5104320	1	32.76				
S1_5121056	1	32.76				
S1_5121565	1	32.76				
S1_5149460	1	33.06				
S1_5171228	1	33.06				
S1_5216035	1	33.06				
S1_5244677	1	33.06				
S1_5250768	1	33.06				
S1_5262583	1	33.35				
S1_5302109	1	33.35				
S1_5335245	1	33.35				
S1_5344016	1	33.35				
S1_5353396	1	33.35				
S1_5498898	1	34.23				
S1_5501756	1	34.52				
S1_5792183	1	37.39				
S1_5792315	1	37.39				
S1_5792338	1	37.39				
S1_5838058	1	37.39				
S1_5838082	1	37.39				
S1_5839662	1	37.68				
S1_5845276	1	37.68				
S1_5862910	1	37.68				
S1_5863007	1	37.68				
S1_5892170	1	37.68				
S1_5944962	1	37.68				
S1_5969153	1	37.68				
S1_6041413	1	38.56				
S1_6113108	1	38.56				
S1_6146640	1	38.86				
S1_6188297	1	39.17				
S1_6330487	1	40.39				
S1_6333407	1	40.39				
S1_6343254	1	40.39				
S1_6471731	1	40.39				
S1_6494546	1	40.39				
S1_6494998	1	40.39				
S1_6495567	1	40.39				
S1_6525868	1	40.39				
S1_6535337	1	40.39				
S1_6567057	1	40.39				
S1_6567126	1	40.39				
S1_6593330	1	40.69				
S1_6593442	1	40.69				
S1_6602276	1	40.97				
S1_6630369	1	41.86				
S1_6641102	1	41.86				
S1_6708268	1	43.08				
S1_6712928	1	43.08				
S1_6714842	1	43.08				
S1_6717596	1	43.08				
S1_6733687	1	43.08				
S1_6733708	1	43.08				
S1_6765404	1	43.08				
S1_6769618	1	43.08				
S1_6798445	1	43.38				
S1_6808624	1	43.68				
S1_6820108	1	43.68				
S1_6820801	1	43.68				
S1_6824646	1	43.97				
S1_6872500	1	44.86				
S1_6889960	1	44.86				
S1_6914036	1	45.16				
S1_6958036	1	45.16				
S1_6991867	1	45.44				
S1_7009517	1	45.74				
S1_7023345	1	45.74				
S1_7076440	1	46.04				
S1_7093663	1	46.62				
S1_7182974	1	46.9				
S1_7224154	1	47.48				
S1_7245746	1	47.78				
S1_7245810	1	47.78				
S1_7259818	1	47.78				
S1_7296346	1	48.08				
S1_7296378	1	48.08				
S1_7309189	1	48.08				
S1_7403699	1	48.65				
S1_7437743	1	48.65				
S1_7497023	1	49.22				
S1_7520107	1	49.22				
S1_7520182	1	49.83				
S1_7569628	1	50.44				
S1_7588929	1	51.01				
S1_7604334	1	51.01				
S1_7702003	1	51.31				
S1_7725080	1	51.87				
S1_7743878	1	52.17				
S1_7775211	1	52.76				
S1_7776790	1	52.76				
S1_7778029	1	52.76				
S1_8656025	1	62.74				
S1_8901503	1	63.96				
S1_8918873	1	63.96				
S1_8924173	1	63.96				
S1_8956444	1	63.96				
S1_8986447	1	63.96				
S1_8996676	1	63.96				
S1_9043945	1	64.26				
S1_9053623	1	64.26				
S1_9065879	1	64.26				
S1_9077808	1	64.26				
S1_9166384	1	64.26				
S1_9317733	1	64.58				
S1_9340031	1	64.89				
S1_9350176	1	65.19				
S1_9382998	1	65.19				
S1_9396519	1	65.19				
S1_9402495	1	65.19				
S1_9515052	1	65.19				
S1_9627822	1	65.47				
S1_9627858	1	65.47				
S1_9644987	1	65.47				
S1_9737297	1	65.76				
S1_9770396	1	65.76				
S1_9788316	1	65.76				
S1_9795573	1	65.76				
S1_9873689	1	65.76				
S1_9943477	1	65.76				
S1_9973198	1	66.04				
S1_10005024	1	66.04				
S1_10026930	1	66.04				
S1_10028905	1	66.04				
S1_10080376	1	66.04				
S1_10145704	1	66.33				
S1_10146639	1	66.33				
S1_10154770	1	66.33				
S1_10219590	1	66.62				
S1_10299032	1	66.92				
S1_10471259	1	68.14				
S1_10478509	1	68.14				
S1_10497101	1	68.14				
S1_10523447	1	68.14				
S1_10551873	1	68.14				
S1_10565097	1	68.14				
S1_10597193	1	68.42				
S1_10601251	1	68.42				
S1_10628458	1	68.42				
S1_10641287	1	68.42				
S1_10651348	1	68.42				
S1_10661273	1	68.42				
S1_10666230	1	68.42				
S1_10666308	1	68.42				
S1_10701666	1	68.42				
S1_10822264	1	69.02				
S1_10828488	1	69.32				
S1_10830037	1	69.32				
S1_10831601	1	69.32				
S1_10906880	1	69.62				
S1_10906898	1	69.62				
S1_10914433	1	69.62				
S1_10922639	1	69.62				
S1_10935218	1	69.62				
S1_10946169	1	69.62				
S1_10949748	1	69.62				
S1_11054774	1	69.62				
S1_11063579	1	69.91				
S1_11071701	1	69.91				
S1_11071767	1	69.91				
S1_11078453	1	69.91				
S1_11086521	1	69.91				
S1_11112365	1	69.91				
S1_11155822	1	69.91				
S1_11155823	1	69.91				
S1_11171075	1	69.91				
S1_11175336	1	69.91				
S1_11220396	1	69.91				
S1_11245065	1	69.91				
S1_11316555	1	69.91				
S1_11350438	1	70.2				
S1_11356137	1	70.2				
S1_11356196	1	70.2				
S1_11378763	1	70.2				
S1_11410130	1	70.2				
S1_11469261	1	70.2				
S1_11502214	1	70.5				
S1_11502301	1	70.81				
S1_11523233	1	70.81				
S1_11529325	1	70.81				
S1_11581799	1	71.44				
S1_11584932	1	71.44				
S1_11584985	1	71.44				
S1_11596305	1	71.74				
S1_11601232	1	71.74				
S1_11624734	1	71.74				
S1_11664020	1	72.03				
S1_11672630	1	72.03				
S1_11704526	1	72.03				
S1_11771719	1	72.63				
S1_11774656	1	72.63				
S1_11797866	1	72.63				
S1_11799019	1	72.63				
S1_11799126	1	72.63				
S1_11799219	1	72.63				
S1_11799259	1	72.63				
S1_11799698	1	72.63				
S1_11799765	1	72.63				
S1_11853073	1	72.63				
S1_11883103	1	72.63				
S1_11899014	1	72.63				
S1_11905394	1	72.93				
S1_11910474	1	72.93				
S1_11976777	1	72.93				
S1_12083713	1	72.93				
S1_12089369	1	72.93				
S1_12091922	1	72.93				
S1_12095477	1	72.93				
S1_12154327	1	73.22				
S1_12159683	1	73.22				
S1_12183884	1	73.22				
S1_12290800	1	73.22				
S1_12394007	1	73.78				
S1_12414777	1	74.08				
S1_12414827	1	74.08				
S1_12426650	1	74.08				
S1_12503283	1	74.08				
S1_12556762	1	74.36				
S1_12556793	1	74.36				
S1_12556842	1	74.36				
S1_12581729	1	74.36				
S1_12583448	1	74.36				
S1_12685974	1	75.26				
S1_12702701	1	75.26				
S1_12737403	1	75.26				
S1_12807749	1	75.56				
S1_12809419	1	75.56				
S1_12854309	1	76.15				
S1_12854311	1	76.44				
S1_12870837	1	76.74				
S1_12896407	1	76.74				
S1_12910555	1	76.74				
S1_12910576	1	76.74				
S1_13140455	1	77.03				
S1_13273085	1	77.03				
S1_13366825	1	77.31				
S1_13366968	1	77.31				
S1_13474337	1	77.31				
S1_13508662	1	77.6				
S1_13572569	1	78.16				
S1_13580968	1	78.16				
S1_13580992	1	78.16				
S1_13581278	1	78.16				
S1_13584528	1	78.16				
S1_13584597	1	78.16				
S1_13798332	1	78.16				
S1_13798347	1	78.16				
S1_13896167	1	78.44				
S1_13914316	1	78.44				
S1_13914607	1	78.44				
S1_13973025	1	78.76				
S1_13979564	1	78.76				
S1_13980408	1	78.76				
S1_13985571	1	79.06				
S1_14116022	1	79.36				
S1_14116030	1	79.36				
S1_14295554	1	79.64				
S1_14295568	1	79.64				
S1_14296217	1	79.64				
S1_14299855	1	79.64				
S1_14326239	1	79.64				
S1_14326279	1	79.64				
S1_14383471	1	79.64				
S1_14438575	1	79.64				
S1_14440058	1	79.64				
S1_14475037	1	80.24				
S1_14481157	1	80.24				
S1_14486785	1	80.52				
S1_14510179	1	80.8				
S1_14626237	1	81.09				
S1_14732827	1	81.09				
S1_14750182	1	81.09				
S1_14792151	1	81.09				
S1_14823999	1	81.09				
S1_14834053	1	81.09				
S1_14882233	1	81.09				
S1_14901253	1	81.09				
S1_15193417	1	81.09				
S1_15347929	1	81.09				
S1_15440503	1	81.09				
S1_15535198	1	81.09				
S1_15583101	1	81.09				
S1_15583114	1	81.09				
S1_15716633	1	81.09				
S1_15807705	1	81.09				
S1_15886476	1	81.09				
S1_15886864	1	81.09				
S1_15959058	1	81.09				
S1_16003186	1	81.09				
S1_16038260	1	81.09				
S1_16066921	1	81.09				
S1_16071088	1	81.09				
S1_16149369	1	81.39				
S1_16415203	1	81.39				
S1_16479540	1	81.39				
S1_16479574	1	81.39				
S1_16480090	1	81.39				
S1_16489786	1	81.39				
S1_16493005	1	81.39				
S1_16520703	1	81.39				
S1_16538618	1	81.69				
S1_16540392	1	81.69				
S1_16743336	1	81.69				
S1_17160466	1	81.69				
S1_17299464	1	81.69				
S1_17355160	1	81.69				
S1_17413556	1	81.69				
S1_17482197	1	81.97				
S1_17482210	1	81.97				
S1_17482302	1	81.97				
S1_17482612	1	81.97				
S1_17512123	1	81.97				
S1_17544727	1	81.97				
S1_17545743	1	81.97				
S1_17545937	1	81.97				
S1_17682192	1	81.97				
S1_17860771	1	82.26				
S1_17887946	1	82.26				
S1_17887977	1	82.26				
S1_17937991	1	82.26				
S1_18069374	1	82.55				
S1_18089486	1	82.83				
S1_18095164	1	82.83				
S1_18113719	1	82.83				
S1_18205582	1	83.12				
S1_18263214	1	83.41				
S1_18284709	1	83.41				
S1_18326662	1	83.41				
S1_18370909	1	83.41				
S1_18392367	1	83.41				
S1_18455721	1	83.41				
S1_18459497	1	83.41				
S1_18464549	1	83.41				
S1_18530428	1	83.7				
S1_18623076	1	83.7				
S1_18653198	1	83.7				
S1_18710878	1	84.01				
S1_18721045	1	84.01				
S1_18771994	1	84.01				
S1_18839100	1	84.01				
S1_18994098	1	84.3				
S1_19004525	1	84.3				
S1_19029178	1	84.61				
S1_19090133	1	84.61				
S1_19134759	1	84.61				
S1_19247442	1	84.61				
S1_19285395	1	84.61				
S1_19340785	1	84.61				
S1_19360053	1	84.61				
S1_19405589	1	84.61				
S1_19518640	1	84.91				
S1_19549832	1	85.51				
S1_19693703	1	85.51				
S1_19910531	1	85.51				
S1_19980169	1	85.81				
S1_20242882	1	86.66				
S1_21276489	1	94.91				
S1_21352851	1	95.19				
S1_21415453	1	95.48				
S1_21441147	1	95.78				
S1_21626281	1	95.78				
S1_21626317	1	95.78				
S1_21677144	1	95.78				
S1_21677145	1	95.78				
S1_21687105	1	96.38				
S1_21692903	1	96.38				
S1_21693084	1	96.38				
S1_21707357	1	96.98				
S1_21733437	1	97.27				
S1_21737002	1	97.27				
S1_21743654	1	97.56				
S1_21759898	1	98.14				
S1_21759947	1	98.14				
S1_21760129	1	98.14				
S1_21887517	1	98.44				
S1_22389276	1	101.31				
S1_22441431	1	101.31				
S1_22488221	1	101.6				
S1_22495172	1	101.6				
S1_22499467	1	101.6				
S1_22532429	1	101.6				
S1_22532437	1	101.6				
S1_22617556	1	101.89				
S1_22641442	1	101.89				
S1_22652906	1	101.89				
S1_22666589	1	101.89				
S1_22666852	1	101.89				
S1_22677418	1	102.2				
S1_22677528	1	102.2				
S1_22687290	1	102.2				
S1_22691897	1	102.2				
S1_22745781	1	102.2				
S1_22775433	1	102.48				
S1_22796323	1	102.48				
S1_22808768	1	102.48				
S1_22826112	1	102.48				
S1_22919423	1	102.48				
S1_22929861	1	102.76				
S1_22982005	1	102.76				
S1_22982398	1	102.76				
S1_22992621	1	102.76				
S1_23081721	1	103.33				
S1_23117562	1	103.33				
S1_23146973	1	103.33				
S1_23171730	1	103.89				
S1_23172050	1	103.89				
S1_23172162	1	103.89				
S1_23282101	1	103.89				
S1_23323790	1	103.89				
S1_23337320	1	103.89				
S1_23338972	1	104.18				
S1_23339010	1	104.18				
S1_23339173	1	104.18				
S1_23377403	1	104.47				
S1_23403043	1	104.47				
S1_23405823	1	104.47				
S1_23412305	1	104.47				
S1_23439643	1	104.47				
S1_23443747	1	104.47				
S1_23470922	1	104.47				
S1_23532709	1	104.74				
S1_23551887	1	105.32				
S1_23551929	1	105.32				
S1_23581491	1	105.63				
S1_23624112	1	105.93				
S1_23626536	1	105.93				
S1_23642506	1	105.93				
S1_23735612	1	106.55				
S1_23780579	1	106.85				
S1_23803692	1	106.85				
S1_23813823	1	107.15				
S1_23830092	1	107.15				
S1_23833162	1	107.15				
S1_23851736	1	107.15				
S1_23857159	1	107.15				
S1_23861766	1	107.15				
S1_23861768	1	107.15				
S1_23871904	1	107.15				
S1_23882000	1	107.15				
S1_23914247	1	107.15				
S1_24016168	1	107.44				
S1_24018338	1	107.44				
S1_24018801	1	107.44				
S1_24026841	1	107.44				
S1_24026845	1	107.44				
S1_24026888	1	107.44				
S1_24076158	1	107.74				
S1_24082481	1	107.74				
S1_24084796	1	107.74				
S1_24084852	1	107.74				
S1_24093685	1	107.74				
S1_24299593	1	108.96				
S1_24334623	1	108.96				
S1_24350409	1	109.26				
S1_24352061	1	109.57				
S1_24352114	1	109.57				
S1_24352864	1	109.57				
S1_24380183	1	109.87				
S1_24409809	1	110.17				
S1_24440283	1	110.17				
S1_24452233	1	110.17				
S1_24452373	1	110.17				
S1_24470782	1	110.78				
S1_24486950	1	110.78				
S1_24487583	1	110.78				
S1_24575968	1	111.07				
S1_24595113	1	111.07				
S1_24614247	1	111.34				
S1_24614322	1	111.34				
S1_24615394	1	111.34				
S1_24628876	1	111.34				
S1_24629086	1	111.62				
S1_24713129	1	111.9				
S1_24713505	1	111.9				
S1_24713522	1	111.9				
S1_24718661	1	111.9				
S1_24735276	1	111.9				
S1_24741849	1	111.9				
S1_24757984	1	111.9				
S1_24780749	1	112.18				
S1_24785484	1	112.18				
S1_24785862	1	112.18				
S1_24947172	1	113.65				
S1_24948198	1	114.21				
S1_24952301	1	114.21				
S1_24990114	1	114.5				
S1_25011639	1	114.78				
S1_25057852	1	115.08				
S1_25070832	1	115.39				
S1_25128503	1	115.98				
S1_25140853	1	116.27				
S1_25234555	1	116.27				
S1_25248004	1	116.27				
S1_25275937	1	116.85				
S1_25302501	1	117.14				
S1_25440229	1	117.14				
S1_25441350	1	117.14				
S1_25499444	1	117.14				
S1_25593034	1	117.14				
S1_25669323	1	117.14				
S1_26312441	1	120.59				
S1_26416985	1	120.89				
S1_26421289	1	120.89				
S1_26447134	1	121.17				
S1_26449260	1	121.17				
S1_26449563	1	121.17				
S1_26454221	1	121.17				
S1_26454238	1	121.17				
S1_26454308	1	121.17				
S1_26688670	1	122.66				
S1_26718633	1	122.66				
S1_26769954	1	122.95				
S1_26819528	1	122.95				
S1_26827007	1	122.95				
S1_26834740	1	122.95				
S1_26835583	1	123.23				
S1_26895456	1	123.78				
S1_26968844	1	123.78				
S1_27019050	1	123.78				
S1_27021057	1	123.78				
S1_27047124	1	123.78				
S1_27047854	1	123.78				
S1_27059196	1	123.78				
S1_27060340	1	124.08				
S1_27083902	1	124.67				
S1_27092302	1	124.67				
S1_27113663	1	124.67				
S1_27113699	1	124.67				
S1_27155770	1	124.67				
S1_27197221	1	124.97				
S1_27220958	1	125.26				
S1_27236443	1	125.26				
S1_27240933	1	125.26				
S1_27246438	1	125.26				
S1_27253983	1	125.26				
S1_27257212	1	125.26				
S1_27292319	1	125.26				
S1_27322114	1	125.26				
S1_27474455	1	125.53				
S1_27496213	1	125.53				
S1_27515615	1	125.53				
S1_27515756	1	125.53				
S1_27515792	1	125.53				
S1_27562557	1	125.53				
S1_27562570	1	125.53				
S1_27571503	1	125.81				
S1_27571524	1	125.81				
S1_27588496	1	125.81				
S1_27625835	1	126.42				
S1_27691180	1	126.42				
S1_27716647	1	126.71				
S1_27733811	1	126.71				
S1_27733887	1	126.71				
S1_27745983	1	127.01				
S1_27755192	1	127.01				
S1_27755610	1	127.01				
S1_27767204	1	127.01				
S1_27768736	1	127.01				
S1_27768761	1	127.01				
S1_27840850	1	127.01				
S1_27841959	1	127.01				
S1_27870836	1	127.01				
S1_27931304	1	127.01				
S1_28059309	1	127.29				
S1_28086380	1	127.59				
S1_28091537	1	127.89				
S1_28101401	1	128.19				
S1_28157998	1	129.97				
S1_28247178	1	130.83				
S1_28343055	1	131.13				
S1_28355340	1	131.13				
S1_28383168	1	131.13				
S1_28383640	1	131.13				
S1_28429493	1	131.13				
S1_28488187	1	131.41				
S1_28524745	1	131.41				
S1_28526669	1	131.7				
S1_28535873	1	131.7				
S1_28535874	1	131.7				
S1_28536019	1	131.7				
S1_28539147	1	131.7				
S1_28539176	1	131.7				
S1_28539208	1	131.7				
S1_28545092	1	131.7				
S1_28572121	1	131.7				
S1_28615061	1	131.98				
S1_28615272	1	131.98				
S1_28625644	1	131.98				
S1_28626425	1	131.98				
S1_28629217	1	131.98				
S1_28632176	1	131.98				
S1_28637146	1	131.98				
S1_28674613	1	131.98				
S1_28693270	1	131.98				
S1_28727314	1	131.98				
S1_28824044	1	131.98				
S1_28833621	1	131.98				
S1_28833655	1	131.98				
S1_28881813	1	131.98				
S1_28947942	1	132.28				
S1_28952689	1	132.58				
S1_28970837	1	132.58				
S1_28991277	1	132.58				
S1_28991326	1	132.58				
S1_29066860	1	132.87				
S1_29124304	1	132.87				
S1_29127258	1	132.87				
S1_29138375	1	133.17				
S1_29188984	1	133.17				
S1_29189273	1	133.17				
S1_29205259	1	133.17				
S1_29223354	1	133.17				
S1_29223416	1	133.17				
S1_29262844	1	133.17				
S1_29298386	1	133.48				
S1_29400894	1	133.78				
S1_29469728	1	134.36				
S1_29475822	1	134.36				
S1_29498138	1	134.36				
S1_29532660	1	134.36				
S1_29553582	1	134.92				
S1_29559841	1	134.92				
S1_29561423	1	134.92				
S1_29568978	1	135.22				
S1_29569037	1	135.54				
S1_29578940	1	135.85				
S1_29578953	1	135.85				
S1_29584824	1	135.85				
S1_29600661	1	135.85				
S1_29613432	1	135.85				
S1_29655234	1	135.85				
S1_29722949	1	136.14				
S1_29887181	1	136.43				
S1_29911184	1	136.43				
S1_29928648	1	136.43				
S1_29935443	1	136.43				
S1_29939454	1	136.43				
S1_29957379	1	136.43				
S1_29981133	1	136.74				
S1_29999688	1	137.05				
S1_30009473	1	137.34				
S1_30025718	1	137.34				
S1_30055721	1	137.34				
S1_30058874	1	137.34				
S1_30074818	1	137.34				
S1_30124433	1	137.94				
S1_30131540	1	137.94				
S1_30131577	1	137.94				
S1_30172947	1	137.94				
S1_30201294	1	138.22				
S1_30236472	1	138.22				
S1_30277081	1	138.22				
S1_30293532	1	138.22				
S1_30305853	1	138.22				
S1_30319060	1	138.5				
S1_30324633	1	138.5				
S1_30360637	1	138.5				
S1_30393202	1	138.8				
S1_30408738	1	138.8				
S1_30413129	1	138.8				
S1_30480712	1	139.07				
S1_30496453	1	139.07				
S1_30568069	1	139.07				
S1_30575346	1	139.07				
S1_30583128	1	139.07				
S1_30583212	1	139.07				
S1_30598727	1	139.07				
S1_30646876	1	139.07				
S1_30658261	1	139.07				
S1_30658263	1	139.07				
S1_30666865	1	139.07				
S1_30676420	1	139.07				
S1_30676519	1	139.07				
S1_30690413	1	139.07				
S1_30730796	1	139.07				
S1_30748648	1	139.07				
S1_30749240	1	139.07				
S1_30752628	1	139.07				
S1_30819364	1	139.07				
S1_30847167	1	139.07				
S1_30862865	1	139.07				
S1_30904556	1	139.35				
S1_30906279	1	139.35				
S1_30926503	1	139.35				
S1_30971620	1	139.35				
S1_30972054	1	139.35				
S1_30972382	1	139.35				
S1_31007963	1	139.64				
S1_31008477	1	139.64				
S1_31017547	1	139.64				
S1_31033244	1	139.64				
S1_31076665	1	139.92				
S1_31109262	1	139.92				
S1_31170191	1	139.92				
S1_31182054	1	140.2				
S1_31277866	1	140.2				
S1_31311033	1	140.48				
S1_31324966	1	140.48				
S1_31329438	1	140.48				
S1_31358087	1	140.76				
S1_31358332	1	140.76				
S1_31362860	1	141.04				
S1_31410778	1	141.04				
S1_31410781	1	141.04				
S1_31502727	1	141.04				
S1_31522400	1	141.04				
S1_31551307	1	141.04				
S1_31551322	1	141.04				
S1_31561270	1	141.04				
S1_31593365	1	141.04				
S1_31605356	1	141.04				
S1_31610933	1	141.04				
S1_31621833	1	141.04				
S1_31623358	1	141.04				
S1_31629434	1	141.04				
S1_31639862	1	141.04				
S1_31648211	1	141.04				
S1_31652337	1	141.04				
S1_31653042	1	141.04				
S1_31694363	1	141.32				
S1_31700016	1	141.32				
S1_31700892	1	141.32				
S1_31705352	1	141.32				
S1_31719428	1	141.6				
S1_31727197	1	141.6				
S1_31727227	1	141.6				
S1_31728411	1	141.6				
S1_31729841	1	141.6				
S1_31733842	1	141.6				
S1_31742497	1	141.6				
S1_31742684	1	141.6				
S1_31811100	1	141.6				
S1_31822935	1	141.6				
S1_31839889	1	141.6				
S1_31851625	1	141.6				
S1_32234841	1	144.53				
S1_32234899	1	144.53				
S1_32271441	1	144.81				
S1_32310380	1	144.81				
S1_32310419	1	144.81				
S1_32327040	1	144.81				
S1_32418346	1	145.1				
S1_32436850	1	145.38				
S1_32507957	1	145.66				
S1_32593540	1	145.95				
S1_32698096	1	145.95				
S1_32748842	1	145.95				
S1_32787803	1	146.23				
S1_32871363	1	146.53				
S1_32887286	1	146.83				
S1_32932676	1	146.83				
S1_32962985	1	146.83				
S1_33066840	1	147.11				
S1_33070820	1	147.11				
S1_33173183	1	147.41				
S1_33217294	1	148.33				
S1_33228443	1	148.33				
S1_33228800	1	148.33				
S1_33239897	1	148.62				
S1_33239950	1	148.62				
S1_33284067	1	148.9				
S1_33317654	1	148.9				
S1_33350971	1	148.9				
S1_33415088	1	148.9				
S1_33477248	1	148.9				
S1_33480838	1	148.9				
S1_33481112	1	148.9				
S1_33494716	1	148.9				
S1_33495140	1	148.9				
S1_33597322	1	149.21				
S1_33630247	1	149.51				
S1_33655759	1	149.51				
S1_33700270	1	149.51				
S1_33713885	1	149.51				
S1_33764767	1	149.51				
S1_33768695	1	149.51				
S1_33815719	1	149.51				
S1_33836724	1	149.82				
S1_33836747	1	149.82				
S1_33905350	1	149.82				
S1_34095696	1	149.82				
S1_34132036	1	149.82				
S1_34132373	1	149.82				
S1_34186483	1	149.82				
S1_34187495	1	150.1				
S1_34203951	1	150.1				
S1_34237526	1	150.1				
S1_34259368	1	150.1				
S1_34280611	1	150.1				
S1_34281840	1	150.1				
S1_34289727	1	150.1				
S1_34378841	1	150.1				
S1_34439883	1	150.1				
S1_34498117	1	150.39				
S1_34502949	1	150.67				
S1_34513984	1	150.95				
S1_34515173	1	151.22				
S1_34549104	1	151.5				
S1_34556262	1	151.5				
S1_34567405	1	151.5				
S1_34572270	1	151.81				
S1_34577080	1	152.11				
S1_34586419	1	152.71				
S1_34625386	1	153.3				
S1_34672918	1	153.3				
S1_34675221	1	153.3				
S1_34694408	1	153.3				
S1_34702583	1	153.3				
S1_34704181	1	153.3				
S1_34704288	1	153.3				
S1_34784290	1	154.25				
S1_34788995	1	154.25				
S1_34863397	1	154.25				
S1_34944840	1	154.25				
S1_34945493	1	154.25				
S1_34945604	1	154.25				
S1_34963117	1	154.84				
S1_34985207	1	154.84				
S1_35030149	1	154.84				
S1_35063836	1	155.12				
S1_35080693	1	155.12				
S1_35080741	1	155.12				
S1_35084296	1	155.12				
S1_35084314	1	155.12				
S1_35099946	1	155.12				
S1_35130603	1	155.12				
S1_35153907	1	155.39				
S1_35169676	1	155.67				
S1_35179954	1	155.67				
S1_35192834	1	155.67				
S1_35237430	1	155.67				
