set	mkr	map	phys	gen	vld
Manihot_esculenta_ICGMC2015	s03203:45663	1	1351101	9.85	TRUE
Manihot_esculenta_ICGMC2015	s03203:33298	1	1363466	9.44	TRUE
Manihot_esculenta_ICGMC2015	s03203:16915	1	1379849	9.62	TRUE
Manihot_esculenta_ICGMC2015	s06446:797466	1	1423065	16.06	TRUE
Manihot_esculenta_ICGMC2015	s06446:797452	1	1423079	16.06	TRUE
Manihot_esculenta_ICGMC2015	s06446:797449	1	1423082	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:797086	1	1423445	9.2	TRUE
Manihot_esculenta_ICGMC2015	s06446:797068	1	1423463	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:794159	1	1426372	9.2	TRUE
Manihot_esculenta_ICGMC2015	s06446:778623	1	1441908	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:778611	1	1441920	22.35	TRUE
Manihot_esculenta_ICGMC2015	s06446:770168	1	1450363	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:769729	1	1450802	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:752219	1	1468312	10.34	TRUE
Manihot_esculenta_ICGMC2015	s06446:751915	1	1468616	10.34	TRUE
Manihot_esculenta_ICGMC2015	s06446:748906	1	1471625	11.91	TRUE
Manihot_esculenta_ICGMC2015	s06446:717312	1	1503219	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:717306	1	1503225	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:717255	1	1503276	9.2	TRUE
Manihot_esculenta_ICGMC2015	s06446:716758	1	1503773	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:716735	1	1503796	12.43	TRUE
Manihot_esculenta_ICGMC2015	s06446:590219	1	1630312	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:529940	1	1690591	11.2	TRUE
Manihot_esculenta_ICGMC2015	s06446:529921	1	1690610	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:527296	1	1693235	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:527276	1	1693255	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:527257	1	1693274	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:527004	1	1693527	17.36	TRUE
Manihot_esculenta_ICGMC2015	s06446:419807	1	1800724	17.36	TRUE
Manihot_esculenta_ICGMC2015	s06446:391309	1	1829222	24.71	TRUE
Manihot_esculenta_ICGMC2015	s06446:374098	1	1846433	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:368937	1	1851594	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:368920	1	1851611	24.71	TRUE
Manihot_esculenta_ICGMC2015	s06446:368716	1	1851815	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:368674	1	1851857	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:313728	1	1906803	20.44	TRUE
Manihot_esculenta_ICGMC2015	s06446:313707	1	1906824	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:313472	1	1907059	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:284487	1	1936044	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:205445	1	2015086	16.26	TRUE
Manihot_esculenta_ICGMC2015	s06446:196328	1	2024203	20.97	TRUE
Manihot_esculenta_ICGMC2015	s06446:196298	1	2024233	17.36	TRUE
Manihot_esculenta_ICGMC2015	s06446:196239	1	2024292	16.26	TRUE
Manihot_esculenta_ICGMC2015	s06446:159813	1	2060718	17.36	TRUE
Manihot_esculenta_ICGMC2015	s06446:158476	1	2062055	16.65	TRUE
Manihot_esculenta_ICGMC2015	s06446:158451	1	2062080	16.65	TRUE
Manihot_esculenta_ICGMC2015	s06446:158450	1	2062081	16.65	TRUE
Manihot_esculenta_ICGMC2015	s06446:107692	1	2112839	22.09	TRUE
Manihot_esculenta_ICGMC2015	s06446:107683	1	2112848	22.09	TRUE
Manihot_esculenta_ICGMC2015	s06446:107434	1	2113097	22.09	TRUE
Manihot_esculenta_ICGMC2015	s12711:379670	1	2186820	23.56	TRUE
Manihot_esculenta_ICGMC2015	s12711:379378	1	2187112	19.03	TRUE
Manihot_esculenta_ICGMC2015	s12711:379096	1	2187394	23.56	TRUE
Manihot_esculenta_ICGMC2015	s12711:379081	1	2187409	23.56	TRUE
Manihot_esculenta_ICGMC2015	s12711:378870	1	2187620	20.72	TRUE
Manihot_esculenta_ICGMC2015	s12711:378862	1	2187628	20.72	TRUE
Manihot_esculenta_ICGMC2015	s12711:359198	1	2207292	24.21	TRUE
Manihot_esculenta_ICGMC2015	s12711:310870	1	2255620	25.31	TRUE
Manihot_esculenta_ICGMC2015	s12711:279565	1	2286925	24.62	TRUE
Manihot_esculenta_ICGMC2015	s12711:279329	1	2287161	24.62	TRUE
Manihot_esculenta_ICGMC2015	s12711:161938	1	2404552	26.19	TRUE
Manihot_esculenta_ICGMC2015	s12711:138428	1	2428062	26.19	TRUE
Manihot_esculenta_ICGMC2015	s12711:122831	1	2443659	24.36	TRUE
Manihot_esculenta_ICGMC2015	s12711:122783	1	2443707	24.36	TRUE
Manihot_esculenta_ICGMC2015	s12711:122439	1	2444051	23.94	TRUE
Manihot_esculenta_ICGMC2015	s12711:122438	1	2444052	26.19	TRUE
Manihot_esculenta_ICGMC2015	s12711:112803	1	2453687	24.36	TRUE
Manihot_esculenta_ICGMC2015	s12711:112794	1	2453696	24.36	TRUE
Manihot_esculenta_ICGMC2015	s12711:112779	1	2453711	24.36	TRUE
Manihot_esculenta_ICGMC2015	s12711:112751	1	2453739	24.36	TRUE
Manihot_esculenta_ICGMC2015	s12711:112747	1	2453743	24.36	TRUE
Manihot_esculenta_ICGMC2015	s12711:90444	1	2476046	23.56	TRUE
Manihot_esculenta_ICGMC2015	s12711:60204	1	2506286	23.56	TRUE
Manihot_esculenta_ICGMC2015	s12711:60175	1	2506315	25.76	TRUE
Manihot_esculenta_ICGMC2015	s12711:60152	1	2506338	25.76	TRUE
Manihot_esculenta_ICGMC2015	s12711:39335	1	2527155	25.76	TRUE
Manihot_esculenta_ICGMC2015	s12711:39099	1	2527391	26.5	TRUE
Manihot_esculenta_ICGMC2015	s12711:19246	1	2547244	25.64	TRUE
Manihot_esculenta_ICGMC2015	s10126:38021	1	2605510	26.12	TRUE
Manihot_esculenta_ICGMC2015	s10126:38024	1	2605513	26.12	TRUE
Manihot_esculenta_ICGMC2015	s10126:38338	1	2605827	26.12	TRUE
Manihot_esculenta_ICGMC2015	s10126:54292	1	2621781	26.12	TRUE
Manihot_esculenta_ICGMC2015	s10126:115381	1	2682870	29.77	TRUE
Manihot_esculenta_ICGMC2015	s10126:122202	1	2689691	29.64	TRUE
Manihot_esculenta_ICGMC2015	s10126:122218	1	2689707	29.64	TRUE
Manihot_esculenta_ICGMC2015	s10126:124298	1	2691787	26.12	TRUE
Manihot_esculenta_ICGMC2015	s03404:132564	1	2768981	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:132545	1	2769000	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:132354	1	2769191	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:132337	1	2769208	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:111243	1	2790302	24.29	TRUE
Manihot_esculenta_ICGMC2015	s03404:111232	1	2790313	24.29	TRUE
Manihot_esculenta_ICGMC2015	s03404:108877	1	2792668	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:108870	1	2792675	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:108849	1	2792696	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:108465	1	2793080	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:108441	1	2793104	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:101328	1	2800217	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:101327	1	2800218	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:81129	1	2820416	24.29	TRUE
Manihot_esculenta_ICGMC2015	s03404:80603	1	2820942	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:74812	1	2826733	24.43	TRUE
Manihot_esculenta_ICGMC2015	s03404:74362	1	2827183	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:74355	1	2827190	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:74353	1	2827192	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:74324	1	2827221	26.5	TRUE
Manihot_esculenta_ICGMC2015	s03404:74312	1	2827233	26.5	TRUE
Manihot_esculenta_ICGMC2015	s07762:554584	1	3165659	29.64	TRUE
Manihot_esculenta_ICGMC2015	s07762:554554	1	3165689	26.5	TRUE
Manihot_esculenta_ICGMC2015	s07762:554277	1	3165966	29.64	TRUE
Manihot_esculenta_ICGMC2015	s07762:492187	1	3228056	29.64	TRUE
Manihot_esculenta_ICGMC2015	s07762:457659	1	3262584	27.66	TRUE
Manihot_esculenta_ICGMC2015	s07762:348278	1	3371965	29.77	TRUE
Manihot_esculenta_ICGMC2015	s07762:347523	1	3372720	30.71	TRUE
Manihot_esculenta_ICGMC2015	s07762:345428	1	3374815	27.77	TRUE
Manihot_esculenta_ICGMC2015	s07762:345426	1	3374817	27.77	TRUE
Manihot_esculenta_ICGMC2015	s07762:338014	1	3382229	29.33	TRUE
Manihot_esculenta_ICGMC2015	s07762:337976	1	3382267	28.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:337672	1	3382571	29.64	TRUE
Manihot_esculenta_ICGMC2015	s07762:337642	1	3382601	26.5	TRUE
Manihot_esculenta_ICGMC2015	s07762:337637	1	3382606	26.5	TRUE
Manihot_esculenta_ICGMC2015	s07762:312667	1	3407576	29.64	TRUE
Manihot_esculenta_ICGMC2015	s07762:270757	1	3449486	29.64	TRUE
Manihot_esculenta_ICGMC2015	s07762:270258	1	3449985	29.97	TRUE
Manihot_esculenta_ICGMC2015	s07762:255345	1	3464898	29.97	TRUE
Manihot_esculenta_ICGMC2015	s07762:255084	1	3465159	29.97	TRUE
Manihot_esculenta_ICGMC2015	s07762:237859	1	3482384	29.97	TRUE
Manihot_esculenta_ICGMC2015	s07762:234123	1	3486120	29.97	TRUE
Manihot_esculenta_ICGMC2015	s07762:233915	1	3486328	29.97	TRUE
Manihot_esculenta_ICGMC2015	s07762:192275	1	3527968	30.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:176756	1	3543487	29.64	TRUE
Manihot_esculenta_ICGMC2015	s07762:176306	1	3543937	25.51	TRUE
Manihot_esculenta_ICGMC2015	s07762:85609	1	3634634	30.05	TRUE
Manihot_esculenta_ICGMC2015	s07762:85311	1	3634932	31.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:85290	1	3634953	31.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:83783	1	3636460	31.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:83471	1	3636772	31.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:83456	1	3636787	31.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:83441	1	3636802	31.78	TRUE
Manihot_esculenta_ICGMC2015	s07762:83415	1	3636828	32.16	TRUE
Manihot_esculenta_ICGMC2015	s08860:30848	1	3752090	31.78	TRUE
Manihot_esculenta_ICGMC2015	s08860:31227	1	3752469	33.9	TRUE
Manihot_esculenta_ICGMC2015	s08860:52404	1	3773646	33.9	TRUE
Manihot_esculenta_ICGMC2015	s08860:52410	1	3773652	33.9	TRUE
Manihot_esculenta_ICGMC2015	s08860:63998	1	3785240	32.16	TRUE
Manihot_esculenta_ICGMC2015	s08860:64016	1	3785258	32.16	TRUE
Manihot_esculenta_ICGMC2015	s08860:64278	1	3785520	33.9	TRUE
Manihot_esculenta_ICGMC2015	s08860:88337	1	3809579	33.9	TRUE
Manihot_esculenta_ICGMC2015	s08860:88785	1	3810027	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:356242	1	3984107	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:356015	1	3984334	35.34	TRUE
Manihot_esculenta_ICGMC2015	s00109:355303	1	3985046	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:355277	1	3985072	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:355266	1	3985083	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:353580	1	3986769	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:353565	1	3986784	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:351132	1	3989217	35.95	TRUE
Manihot_esculenta_ICGMC2015	s00109:338857	1	4001492	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:338823	1	4001526	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:338458	1	4001891	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:338441	1	4001908	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:271236	1	4069113	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:267327	1	4073022	34.4	TRUE
Manihot_esculenta_ICGMC2015	s00109:267156	1	4073193	32.16	TRUE
Manihot_esculenta_ICGMC2015	s00109:226766	1	4113583	34.4	TRUE
Manihot_esculenta_ICGMC2015	s00109:226740	1	4113609	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:182386	1	4157963	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:182385	1	4157964	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:182374	1	4157975	35.52	TRUE
Manihot_esculenta_ICGMC2015	s00109:119287	1	4221062	37.71	TRUE
Manihot_esculenta_ICGMC2015	s00109:119248	1	4221101	37.71	TRUE
Manihot_esculenta_ICGMC2015	s00109:119236	1	4221113	37.71	TRUE
Manihot_esculenta_ICGMC2015	s07873:41914	1	4383262	40.11	TRUE
Manihot_esculenta_ICGMC2015	s07873:42134	1	4383482	40	TRUE
Manihot_esculenta_ICGMC2015	s07873:44698	1	4386046	40.11	TRUE
Manihot_esculenta_ICGMC2015	s07873:59060	1	4400408	40.92	TRUE
Manihot_esculenta_ICGMC2015	s07873:59069	1	4400417	40.92	TRUE
Manihot_esculenta_ICGMC2015	s07873:105806	1	4447154	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:106459	1	4447807	41.58	TRUE
Manihot_esculenta_ICGMC2015	s07873:106766	1	4448114	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:164189	1	4505537	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:164208	1	4505556	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:166271	1	4507619	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:173897	1	4515245	40.92	TRUE
Manihot_esculenta_ICGMC2015	s07873:173907	1	4515255	40.92	TRUE
Manihot_esculenta_ICGMC2015	s07873:173920	1	4515268	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:206856	1	4548204	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:206886	1	4548234	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:207086	1	4548434	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:232300	1	4573648	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:232629	1	4573977	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:232906	1	4574254	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:233210	1	4574558	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:237489	1	4578837	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:237518	1	4578866	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:237749	1	4579097	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:262417	1	4603765	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:262424	1	4603772	42.24	TRUE
Manihot_esculenta_ICGMC2015	s07873:278606	1	4619954	45.72	TRUE
Manihot_esculenta_ICGMC2015	s07873:278625	1	4619973	45.35	TRUE
Manihot_esculenta_ICGMC2015	s03079:287605	1	4658167	42.24	TRUE
Manihot_esculenta_ICGMC2015	s03079:226227	1	4719545	42.24	TRUE
Manihot_esculenta_ICGMC2015	s03079:222539	1	4723233	44.1	TRUE
Manihot_esculenta_ICGMC2015	s03079:205771	1	4740001	42.24	TRUE
Manihot_esculenta_ICGMC2015	s03079:205500	1	4740272	42.78	TRUE
Manihot_esculenta_ICGMC2015	s03079:167872	1	4777900	53.37	TRUE
Manihot_esculenta_ICGMC2015	s03079:167861	1	4777911	53.37	TRUE
Manihot_esculenta_ICGMC2015	s03079:167845	1	4777927	53.37	TRUE
Manihot_esculenta_ICGMC2015	s03079:167487	1	4778285	42.24	TRUE
Manihot_esculenta_ICGMC2015	s03079:167480	1	4778292	42.24	TRUE
Manihot_esculenta_ICGMC2015	s03079:167477	1	4778295	42.24	TRUE
Manihot_esculenta_ICGMC2015	s03079:70769	1	4875003	45.72	TRUE
Manihot_esculenta_ICGMC2015	s03079:70755	1	4875017	44.31	TRUE
Manihot_esculenta_ICGMC2015	s03079:70528	1	4875244	44.31	TRUE
Manihot_esculenta_ICGMC2015	s03079:57559	1	4888213	45.72	TRUE
Manihot_esculenta_ICGMC2015	s03079:57328	1	4888444	45.72	TRUE
Manihot_esculenta_ICGMC2015	s03079:57326	1	4888446	44.31	TRUE
Manihot_esculenta_ICGMC2015	s03079:57306	1	4888466	45.72	TRUE
Manihot_esculenta_ICGMC2015	s03079:36754	1	4909018	44.62	TRUE
Manihot_esculenta_ICGMC2015	s03079:36750	1	4909022	44.62	TRUE
Manihot_esculenta_ICGMC2015	s03079:36546	1	4909226	44.62	TRUE
Manihot_esculenta_ICGMC2015	s06377:81155	1	5027926	45.72	TRUE
Manihot_esculenta_ICGMC2015	s04587:45558	1	5117865	45.47	TRUE
Manihot_esculenta_ICGMC2015	s04587:45516	1	5117907	45.47	TRUE
Manihot_esculenta_ICGMC2015	s04587:45303	1	5118120	45.72	TRUE
Manihot_esculenta_ICGMC2015	s04587:43810	1	5119613	45.72	TRUE
Manihot_esculenta_ICGMC2015	s04587:41957	1	5121466	45.72	TRUE
Manihot_esculenta_ICGMC2015	s04587:41956	1	5121467	45.72	TRUE
Manihot_esculenta_ICGMC2015	s04587:10364	1	5153059	45.72	TRUE
Manihot_esculenta_ICGMC2015	s09458:12363	1	5176785	45.72	TRUE
Manihot_esculenta_ICGMC2015	s11560:23580	1	5201448	45.49	TRUE
Manihot_esculenta_ICGMC2015	s11560:20169	1	5204859	45.72	TRUE
Manihot_esculenta_ICGMC2015	s11560:19785	1	5205243	45.72	TRUE
Manihot_esculenta_ICGMC2015	s11560:19754	1	5205274	45.72	TRUE
Manihot_esculenta_ICGMC2015	s07330:221204	1	5239781	45.9	TRUE
Manihot_esculenta_ICGMC2015	s07330:202106	1	5258879	46.13	TRUE
Manihot_esculenta_ICGMC2015	s07330:172433	1	5288552	44.1	TRUE
Manihot_esculenta_ICGMC2015	s07330:172421	1	5288564	44.1	TRUE
Manihot_esculenta_ICGMC2015	s07330:172362	1	5288623	45.9	TRUE
Manihot_esculenta_ICGMC2015	s07330:172078	1	5288907	46.78	TRUE
Manihot_esculenta_ICGMC2015	s07330:170409	1	5290576	46.13	TRUE
Manihot_esculenta_ICGMC2015	s07330:165519	1	5295466	46.13	TRUE
Manihot_esculenta_ICGMC2015	s07330:143638	1	5317347	45.72	TRUE
Manihot_esculenta_ICGMC2015	s07330:143604	1	5317381	45.9	TRUE
Manihot_esculenta_ICGMC2015	s07330:143594	1	5317391	45.72	TRUE
Manihot_esculenta_ICGMC2015	s07330:143337	1	5317648	45.94	TRUE
Manihot_esculenta_ICGMC2015	s07330:143316	1	5317669	45.9	TRUE
Manihot_esculenta_ICGMC2015	s07330:143289	1	5317696	45.9	TRUE
Manihot_esculenta_ICGMC2015	s07330:143080	1	5317905	45.9	TRUE
Manihot_esculenta_ICGMC2015	s07330:142805	1	5318180	46.78	TRUE
Manihot_esculenta_ICGMC2015	s07330:142783	1	5318202	46.78	TRUE
Manihot_esculenta_ICGMC2015	s07330:135856	1	5325129	45.72	TRUE
Manihot_esculenta_ICGMC2015	s07330:116269	1	5344716	46.78	TRUE
Manihot_esculenta_ICGMC2015	s07330:116251	1	5344734	46.78	TRUE
Manihot_esculenta_ICGMC2015	s07330:116205	1	5344780	46.78	TRUE
Manihot_esculenta_ICGMC2015	s07330:116199	1	5344786	46.78	TRUE
Manihot_esculenta_ICGMC2015	s07330:115983	1	5345002	46.98	TRUE
Manihot_esculenta_ICGMC2015	s07330:115974	1	5345011	46.98	TRUE
Manihot_esculenta_ICGMC2015	s07330:103164	1	5357821	46.98	TRUE
Manihot_esculenta_ICGMC2015	s07330:73210	1	5387775	46.98	TRUE
Manihot_esculenta_ICGMC2015	s07330:72858	1	5388127	46.98	TRUE
Manihot_esculenta_ICGMC2015	s07330:64356	1	5396629	47.41	TRUE
Manihot_esculenta_ICGMC2015	s07330:62679	1	5398306	46.98	TRUE
Manihot_esculenta_ICGMC2015	s07330:62446	1	5398539	46.98	TRUE
Manihot_esculenta_ICGMC2015	s07330:62445	1	5398540	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:36536	1	5498520	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:36943	1	5498927	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:36947	1	5498931	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:58926	1	5520910	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:59149	1	5521133	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:75249	1	5537233	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:75258	1	5537242	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:115810	1	5577794	45.72	TRUE
Manihot_esculenta_ICGMC2015	s00069:116048	1	5578032	47.23	TRUE
Manihot_esculenta_ICGMC2015	s00069:116174	1	5578158	45.72	TRUE
Manihot_esculenta_ICGMC2015	s00069:161498	1	5623482	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:247978	1	5709962	47.41	TRUE
Manihot_esculenta_ICGMC2015	s00069:248227	1	5710211	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:250919	1	5712903	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:251221	1	5713205	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:251234	1	5713218	46.98	TRUE
Manihot_esculenta_ICGMC2015	s00069:260866	1	5722850	46.98	TRUE
Manihot_esculenta_ICGMC2015	s09324:134251	1	5927407	47.33	TRUE
Manihot_esculenta_ICGMC2015	s09324:134223	1	5927435	47.33	TRUE
Manihot_esculenta_ICGMC2015	s09324:134193	1	5927465	47.33	TRUE
